[ost_a.smc]
7F: btm_ruins; Laboratory Ruins; Batman: The Video Game; Naoki Kodaka; Gi Nattak; Alejandro Hernandez
80: erp_countdown; Final Countdown; Europe; N/A; Gi Nattak; unknown
81: ar2_palace; Ice Palace; ActRaiser 2; Yuzo Koshiro; Gi Nattak; D. Harasymovich
82: xng_bonds; Bonds of Sea and Fire; Xenogears; Yasunori Mitsuda; Gi Nattak; Dermot Mac Flannchaidh
83: ff6_ww3; The Wedding Waltz #3; Final Fantasy VI; Nobuo Uematsu; N/A; N/A
84: ys_chambers; Darm Tower Upper Chambers; Ys; Ryo Yonemitsu; Gi Nattak; Willow
85: ff5_exdeath; Neo Exdeath; Final Fantasy V; Nobuo Uematsu; Gi Nattak; FF5→FF6 MCS2
86: wa_zed; Zed's Theme; Wild Arms; Michiko Naruke; Gi Nattak, emberling; Valius, emberling
87: ff2_kashuon; Kashuon Castle (Battle Remix); Final Fantasy II; Nobuo Uematsu; Gi Nattak; squirtlewill2001
88: udt_megalovania; Megalovania; Undertale; Toby Fox; Jackimus; Jackimus
89: wk_determination; Determination; William Kage Music; William Kage; Gi Nattak; William Kage
8A: avgn_fuckballs; Future Fuckballs 2010; Angry Video Game Nerd Adventures; FreakZone Games; Jackimus; Jackimus
8B: fft_battle; Unavoidable Battle; Final Fantasy Tactics; Masaharu Iwata; Gi Nattak; Insane Apu
8C: zll_windfish; Balad of the Windfish; The Legend of Zelda: Link's Awakening; Kazumi Totaka, Minako Hamano, Kozue Ishikawa; Gi Nattak; The Sound Defense
8D: etb__business; Pokey Means Business; Earthbound; Keiichi Suzuki, Hirokazu Tanaka; Gi Nattak; Jay Reichard
8E: ff9_waltz; Black Waltz; Final Fantasy IX; Nobuo Uematsu; Gi Nattak; Sephiroth3
8F: fft_ramza; Ramza's Theme; Final Fantasy Tactics; Hitoshi Sakimoto; Gi Nattak; Kyung Hoon Kang
90: drkn_night; Earth Night; Drakkhen; Hiroyuki Masuno; Gi Nattak; Daniel Marjenburgh
91: ff6_overture_1; Overture 1; Final Fantasy VI; Nobuo Uematsu; N/A; N/A
92: sd3_fission; Nuclear Fission; Seiken Densetsu 3; Hiroki Kikuta; Jackimus; Jackimus
93: lf_evil; Wave of Evil; Lufia; Yasunori Shiono; Gi Nattak; SinclairC
94: sf2_guile; Guile's Theme; Street Fighter II; Yoko Shimomura; Gi Nattak; Moccy
95: ff6_aria; Aria di Mezzo Carattere; Final Fantasy VI; Nobuo Uematsu; N/A; N/A
96: dms_allant; Old King Allant; Demon's Souls; Shunsuke Kida; Gi Nattak; Wyatt Croucher
97: 7th_saizer; Valsu Saizer; 7th Saga; Norihiko Yamanuki; Gi Nattak; JILost
98: bfm_nightime; Nightime; Brave Fencer Musashi; Tsuyoshi Sekito; Gi Nattak; SinclairC
99: lf2_duel; The Last Duel; Lufia II; Yasunori Shiono; Gi Nattak; Sivak Drac
9A: ff4_golbez; Golbez, Clad In Darkness; Final Fantasy IV; Nobuo Uematsu; Gi Nattak; Rob Cohen
