[ost_a.smc]
AB: ct_lavos; Lavos Core; Chrono Trigger; Yasunori Mitsuda; Gi Nattak
AC: mmpr_city; Stage 1, City; Mighty Morphin Power Rangers; Kinuyo Yamashita, Iku Mizutani; Gi Nattak
AF: rs_beat; Beat Them Up!; Romancing Saga; Kenji Ito; Gi Nattak
B0: sf2_vega; Vega's Theme; Street Fighter II; Yoko Shimomura; Gi Nattak
B1: rs2_heroes; Seven Heroes Battle; Romancing Saga 2; Kenji Ito; Gi Nattak
B2: ffx_yuna; Yuna's Decision; Final Fantasy X; Nobuo Uematsu; Gi Nattak
B3: udt_bonetrousle; Bonetrousle; Undertale; Toby Fox; Gi Nattak
B4: shfc_sad; Sad Theme; Shining Force 1; Motoaki Takenouchi; Gi Nattak
B5: smrpg_sewers; Kero Sewers; Super Mario RPG; Yoko Shimomura; Gi Nattak
B6: ff4_world; Somewhere in the World; Final Fantasy IV; Nobuo Uematsu; Gi Nattak
BB: ff3_cloud; Cloud of Darkness; Final Fantasy III; Nobuo Uematsu; Gi Nattak
BC: pq_lullaby; Godom Lullaby; Paladin's Quest; Kohei Tanaka; Gi Nattak
BD: som_oracle; Oracle; Secret of Mana; Hiroki Kikuta; Gi Nattak
BE: som_dance; Meridian Dance; Secret of Mana; Hiroki Kikuta; Gi Nattak
BF: ff4_dreadful; Dreadful Battle; Final Fantasy IV; Nobuo Uematsu; Gi Nattak
C0: ff5_decisive; The Decisive Battle; Final Fantasy V; Nobuo Uematsu; Gi Nattak
C1: rsms_prelude; Prelude to Battle; Romancing Saga Minstrel Song; Kenji Ito; Gi Nattak
C2: rs2_last; Last Battle; Romancing Saga 2; Kenji Ito; Gi Nattak
C3: ct_battle_2; Unused Battle 2; Chrono Trigger; Yasunori Mitsuda; MetroidQuest
C4: alundra_dust; Dust to Dust; Alundra; Kohei Tanaka; Gi Nattak
C5: ff5_boss; Boss Theme; Final Fantasy V; Nobuo Uematsu; Gi Nattak
C6: swom_victory; Believe in Victory; Sword of Mana; Kenji Ito; Gi Nattak
C7: q2_rage; Rage; Quake 2; Sascha Dikiciyan; Gi Nattak
C8: ct_boss2; Boss Battle 2; Chrono Trigger; Yasunori Mitsuda; Gi Nattak
C9: kh_forze; Forze Del Male; Kingdom Hearts; Yoko Shimomura; Gi Nattak
CA: ff7_jenova; J-E-N-O-V-A; Final Fantasy VII; Nobuo Uematsu; Jackimus
CB: ff9_boss; Boss Battle; Final Fantasy IX; Nobuo Uematsu; Jackimus
CC: iog_adrift; Adrift; Illusion of Gaia; Yasuhiro Kawasaki; Gi Nattak
CD: sd3_wolf; Left Handed Wolf; Seiken Densetsu 3; Hiroki Kikuta; Gi Nattak
CE: ej2_lorenzo; Lorenzo's Soil; Earthworm Jim 2; Tommy Tallarico; Gi Nattak
CF: z3_dark_world; Dark World; The Legend of Zelda: A Link to the Past; Koji Kondo; Gi Nattak
D0: ffmq_boss; Boss Theme; Final Fantasy Mystic Quest; Ryuji Sasai, Yasuhiro Kawakami; Jackimus
D1: ffmq_king; Dark King; Final Fantasy Mystic Quest; Ryuji Sasai, Yasuhiro Kawakami; Jackimus
D2: cc_emotions; Singing Emotions; Chrono Cross; Yasunori Mitsuda; Gi Nattak
D3: vp_leaf; Turn Over a New Leaf; Valkyrie Profile; Motoi Sakuraba; Gi Nattak
D4: skd2_neclord; Gothic Neclord; Suikoden II; Miki Higashino, Keiko Fukami; Jackimus
D5: mmx_storm_mammoth; Storm Mammoth (Storm Eagle & Flame Mammoth mix/medley); Mega Man X; Alph Lyla group; Jackimus
D6: gs2_battle; Felix Battle Theme; Golden Sun 2; Motoi Sakuraba; Jackimus
D7: fz_field; Fire Field (Metal Remix); F-Zero; Yumiko Kanki, Naoto Ishida; Gi Nattak
D8: ffl2_aspiration; Aspiration; Final Fantasy Legend II; Kenji Ito; Gi Nattak
D9: top_village; Ary Village; Tales of Phantasia; Motoi Sakuraba, Shinji Tamura; Gi Nattak
DA: evo_boss; Boss Theme; E.V.O. Search for Eden; Koichi Sugiyama; Gi Nattak
DB: som_danger; Danger; Secret of Mana; Hiroki Kikuta; Gi Nattak
DC: z3_village; Kakariko Village; The Legend of Zelda: A Link to the Past; Koji Kondo; Gi Nattak
DD: smrpg_smithy; Fight Against Smithy; Super Mario RPG; Yoko Shimomura; Jackimus
DE: ff7_costa; Costa Del Sol; Final Fantasy VII; Nobuo Uematsu; emberling
DF: smtd_boss; Boss Theme; Super Metroid/Prime; Minako Hamano, Kenji Yamamoto; Jackimus
E0: ff9_final; The Final Battle; Final Fantasy IX; Nobuo Uematsu; Gi Nattak
E1: ff11_recollection; Recollection; Final Fantasy XI; Nobuo Uematsu; Gi Nattak
E2: ff6_ending; Ending Song 2; Final Fantasy VI; Nobuo Uematsu; N/A
E3: ff5_hurry; Hurry! Hurry!; Final Fantasy V; Nobuo Uematsu; Gi Nattak
E4: ff5_book; Sealed Book; Final Fantasy V; Nobuo Uematsu; Gi Nattak
E5: pg_carol_anne; Carol Anne's Theme; Poltergheist; Jerry Goldsmith; Gi Nattak
E6: ff4_paladin; The Paladin; Final Fantasy IV; Nobuo Uematsu; Gi Nattak
E7: rtsd_overworld; Overworld; RPG Tsukuru Super Dante; Shigeharu Isoda, Mitsuhiro Arisaka; Gi Nattak
E8: lf_war; Spoils of War; Lufia; Yasunori Shiono; Gi Nattak
E9: ff7_god; Birth of a God; Final Fantasy VII; Nobuo Uematsu; emberling
EA: totr_chaser; Spirit Chaser; Treasure of the Rudras; Ryuji Sasai; Gi Nattak, emberling
EB: swom_pain; Unrelenting Pain; Sword of Mana; Kenji Ito; Gi Nattak
EC: dbz_battle; Battle Theme #7; Dragon Ball Z Budokai; Kenji Yamamoto; Gi Nattak
ED: fnaf_travel; 8 Bit Travel; Five Nights at Freddys; Leon Riskin; Gi Nattak
EE: ff6_maria; Draco and Maria Singing; Final Fantasy VI; Nobuo Uematsu; N/A
EF: trnm_ressurection; Ressurection; Terranigma; Masanori Hikichi; Gi Nattak
F0: tc_title; Title; Treasure Conflix; Junya Nakano; Gi Nattak
F1: wa_win; Win!; Wild Arms; Michiko Naruke; Gi Nattak
F2: lf2_island; Island in the Void; Lufia II; Yasunori Shiono; Gi Nattak
F3: xng_awakening; Awakening; Xenogears; Yasunori Mitsuda; Gi Nattak
F4: ff8_force; Force Your Way; Final Fantasy VIII; Nobuo Uematsu; emberling
F5: rs_tears; Heartfelt Tears; Romancing Saga; Kenji Ito; Gi Nattak
F6: ebrk_berserker; Berserker; Energy Breaker; Yasunori Shiono; Gi Nattak
F7: emnm_influence; Under the Influence; Eminem; Dr. Dre; Gi Nattak
F8: arcana_armageddon; Second Armageddon; Arcana; Jun Ishikawa, Hirokazu Ando; Gi Nattak
F9: rs3_devils; Four Noble Devils; Romancing Saga 3; Kenji Ito; Gi Nattak
FA: ff7_flowers; Flowers Blooming in the Church; Final Fantasy VII; Nobuo Uematsu; Gi Nattak
FB: top_night; Bright Moonlit Night; Tales of Phantasia; Motoi Sakuraba, Shinji Tamura; Gi Nattak
FD: iog_womb; In the Earthen Womb; Illusion of Gaia; Yasuhiro Kawasaki; Gi Nattak
FE: kq6_bookworm; The Bookworm; King's Quest VI; Chris Braymen; Gi Nattak

[ost_b.smc]
